P1,P2,P3,P4,P6,P8,t1,t3,timestamp
4.7,26.8,3.58,32.800000000000004,39.7,38.7,49,40.2,2025-11-12 10:52:51.307
4.7,26.8,3.59,32.800000000000004,39.7,38.7,49,40.2,2025-11-12 10:52:52.311
4.71,26.8,3.595,32.800000000000004,39.7,38.7,49,40,2025-11-12 10:52:53.310
4.715,26.8,3.585,32.800000000000004,39.7,38.7,49,40,2025-11-12 10:52:54.313
4.72,26.8,3.575,32.800000000000004,39.6,38.7,49,40,2025-11-12 10:52:55.310
4.73,26.8,3.575,32.800000000000004,39.6,38.7,49,40.2,2025-11-12 10:52:56.311
4.71,26.8,3.565,32.800000000000004,39.6,38.7,49,40.2,2025-11-12 10:52:57.322
4.675,26.8,3.585,32.800000000000004,39.6,38.7,49,40,2025-11-12 10:52:58.314
4.715,26.8,3.555,32.800000000000004,39.6,38.7,49,40.2,2025-11-12 10:52:59.309
4.715,26.8,3.56,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:00.317
4.705,26.8,3.5700000000000003,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:01.316
4.705,26.8,3.58,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:02.317
4.68,26.8,3.595,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:03.388
4.6850000000000005,26.8,3.595,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:04.316
4.8100000000000005,26.8,3.5,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:05.316
4.71,26.8,3.5700000000000003,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:06.308
4.695,26.8,3.59,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:07.309
4.705,26.8,3.545,32.800000000000004,39.6,38.6,49,40,2025-11-12 10:53:08.315
4.69,26.8,3.555,32.800000000000004,39.5,38.6,49,40,2025-11-12 10:53:09.309
4.67,26.8,3.555,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:10.308
4.715,26.8,3.565,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:11.309
4.69,26.8,3.5700000000000003,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:12.317
4.71,26.8,3.56,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:13.312
4.7,26.8,3.575,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:14.316
4.72,26.8,3.595,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:15.319
4.715,26.8,3.575,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:16.307
4.735,26.8,3.595,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:17.312
4.72,26.8,3.585,32.800000000000004,39.5,38.6,48.800000000000004,40,2025-11-12 10:53:18.309
4.71,26.8,3.58,32.800000000000004,39.5,38.5,48.800000000000004,40,2025-11-12 10:53:19.306
4.7250000000000005,26.8,3.595,32.800000000000004,39.5,38.5,48.800000000000004,40,2025-11-12 10:53:20.315
4.71,26.8,3.59,32.800000000000004,39.5,38.5,48.800000000000004,40,2025-11-12 10:53:21.308
4.695,26.8,3.58,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:22.308
4.7,26.8,3.595,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:23.316
4.72,26.8,3.59,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:24.315
4.7250000000000005,26.8,3.58,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:25.307
4.7250000000000005,26.8,3.575,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:26.310
4.74,26.8,3.5700000000000003,32.800000000000004,39.400000000000006,38.5,48.800000000000004,40,2025-11-12 10:53:27.309
4.635,17.3,3.61,38.6,45.2,40.1,52,41.6,2025-11-12 11:31:40.326
4.64,17.3,3.61,38.6,45.2,40.1,52,41.6,2025-11-12 11:31:41.318
4.6450000000000005,17.3,3.61,38.6,45.1,40.1,52,41.6,2025-11-12 11:31:42.328
4.69,17.400000000000002,3.6350000000000002,38.5,45,40.2,52,41.800000000000004,2025-11-12 11:32:05.319
4.69,17.400000000000002,3.6350000000000002,38.5,45,40.2,52,41.6,2025-11-12 11:32:06.318
4.675,17.400000000000002,3.6350000000000002,38.5,45,40.2,52,41.6,2025-11-12 11:32:07.318
